flightdate,STATION_NAME,PRCP,SNWD,SNOW,TMAX,TMIN,monthnum
2013-12-01,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,42,.,12
2013-12-02,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.07,0,0,44,29,12
2013-12-03,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.02,0,0,50,37,12
2013-12-04,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.02,0,0,56,39,12
2013-12-05,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,39,21,12
2013-12-06,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,21,13,12
2013-12-07,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,0,0,21,8,12
2013-12-08,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.24,0,3.1,.,15,12
2013-12-09,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,3.1,0,25,0,12
2013-12-10,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,3.1,0.2,21,-6,12
2013-12-11,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.05,3.1,.,21,1,12
2013-12-12,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,3.1,0,19,-3,12
2013-12-13,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,2,.,32,13,12
2013-12-14,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.23,3.1,4,.,22,12
2013-12-15,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,5,0.2,22,10,12
2013-12-16,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.05,5.1,0.7,21,7,12
2013-12-17,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.01,3.9,0.2,33,.,12
2013-12-18,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0,3.9,0,35,15,12
2013-12-19,CHICAGO OHARE INTERNATIONAL AIRPORT IL US,0.06,3.1,0,39,33,12
